Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,St. Vincent and the Grenadines,VCT,685397095.2,931994974.4,1234106387,1251162816,1274096339,1289564364,1306719123,1331513347,1344833245,1373923722,1380723602,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Sudan,SDN,45624167756,78392342872,1.48121E+11,1.48893E+11,1.55437E+11,1.59601E+11,1.67431E+11,1.75301E+11,1.76647E+11,1.72602E+11,1.68281E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Suriname,SUR,5063863573,5538127944,9495427321,9750887555,10036924111,10062568768,9719324901,9178814443,9340573047,9581238287,9606882944,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Sweden,SWE,2.96794E+11,3.65921E+11,4.69558E+11,4.66795E+11,4.7234E+11,4.84894E+11,5.06662E+11,5.17153E+11,5.30433E+11,5.40777E+11,5.47596E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Switzerland,CHE,3.73446E+11,4.21022E+11,5.1308E+11,5.18242E+11,5.2784E+11,5.40768E+11,5.47978E+11,5.57418E+11,5.67449E+11,5.83056E+11,5.88472E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Tajikistan,TJK,20443306933,7785690555,18267623225,19635169509,21088188008,22502355183,23854361460,25493863087,27435856244,29438673829,31502698437,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Tanzania,TZA,34116432208,45875932293,93060034123,97247878561,1.03843E+11,1.10834E+11,1.17662E+11,1.25742E+11,1.34275E+11,1.41586E+11,1.49785E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Thailand,THA,4.02079E+11,6.18155E+11,9.76642E+11,1.04738E+12,1.07553E+12,1.08611E+12,1.12015E+12,1.15856E+12,1.20567E+12,1.25572E+12,1.28529E+12,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Timor-Leste,TLS,..,2059073485,3390063711,3594198804,3670367939,3833683487,3945245018,4077998488,3910653345,3869438881,4593934230,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Togo,TGO,5083164685,6310229934,8369727346,8917401043,9462463188,10022696702,10598286989,11187454168,11674937853,12250647161,12904668762,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Tonga,TON,358250383.6,493565084.7,574341323.8,579068742.8,580877220.3,592603391.4,599548041,638944345.7,660172840.6,662153421.2,667013826.1,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Trinidad and Tobago,TTO,12323429435,21488623926,38284910794,38771115519,39635352686,39273662270,39989693670,37471763820,36605373316,36515611926,36514585838,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Tunisia,TUN,44776152230,71155977783,1.05496E+11,1.09713E+11,1.12868E+11,1.16222E+11,1.1761E+11,1.18974E+11,1.21255E+11,1.24485E+11,1.25784E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Turkey,TUR,6.86427E+11,9.83797E+11,1.62361E+12,1.70135E+12,1.84573E+12,1.9369E+12,2.05475E+12,2.12303E+12,2.2823E+12,2.34984E+12,2.37137E+12,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Turkmenistan,TKM,26553870093,20873899291,50279817661,55860877402,61558686953,67899231692,72312681690,76796067931,81787812382,86858656702,..,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Turks and Caicos Islands,TCA,..,..,792935223.9,785225519.8,793634346.7,862770182.3,960391156.5,1030030908,1004380846,1060736199,1117215706,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Tuvalu,TUV,23280049.68,31495944.68,37148423.72,35723503.49,37358505.27,37862102.66,41323794.54,42577857.3,44321002.32,45429027.38,49861127.61,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Uganda,UGA,15753650618,29627787082,66026585660,68560326573,71019520922,74645995920,78518525581,82272496518,85406362066,90669630881,96838182190,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Ukraine,UKR,8.17379E+11,3.55126E+11,5.69809E+11,5.71169E+11,5.71017E+11,5.336E+11,4.81451E+11,4.92212E+11,5.0435E+11,5.21525E+11,5.38388E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,United Arab Emirates,ARE,2.03787E+11,3.21225E+11,5.02124E+11,5.24643E+11,5.51155E+11,5.74768E+11,6.04115E+11,6.22607E+11,6.37385E+11,6.44969E+11,6.55789E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,United Kingdom,GBR,1.75349E+12,2.2425E+12,2.68281E+12,2.72248E+12,2.78073E+12,2.85324E+12,2.92045E+12,2.97646E+12,3.03278E+12,3.07344E+12,3.1184E+12,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,United States,USA,1.00954E+13,1.41544E+13,1.70752E+13,1.74593E+13,1.7781E+13,1.82301E+13,1.87602E+13,1.90675E+13,1.95194E+13,2.00907E+13,2.05249E+13,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Uruguay,URY,31591728425,44139547097,62574089823,64788072955,67792644866,69988307102,70247782631,71434828370,73285946717,74473240342,74638661591,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Uzbekistan,UZB,70077011216,68686623295,1.43202E+11,1.53764E+11,1.65426E+11,1.77303E+11,1.90508E+11,2.02117E+11,2.11135E+11,2.22634E+11,2.35021E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Vanuatu,VUT,423348172.6,573919287.3,774658452.8,788251771.4,803773600.2,822295333.9,823634577.1,852187242.5,889833369.2,915640586,945532494.5,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,"Venezuela, RB",VEN,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Vietnam,VNM,1.13762E+11,2.36134E+11,4.75642E+11,5.006E+11,5.27742E+11,5.59321E+11,5.96679E+11,6.33738E+11,6.7691E+11,7.24806E+11,7.75669E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,West Bank and Gaza,PSE,..,13159182167,22454102733,23823007353,24942347997,24902972348,25829686576,28119389833,28518507331,28868451483,29142417270,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,"Yemen, Rep.",YEM,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Zambia,ZMB,17602159796,20736671783,44892299081,48303033348,50745829682,53129864885,54681456236,56746599390,58735190956,61104790716,61985790147,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Zimbabwe,ZWE,34680999671,41269476289,32961461871,38454630820,39219682917,40151907062,40866559896,41175457656,43112365756,45194552300,41533793474,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Arab World,ARB,2.15855E+12,3.08892E+12,4.91406E+12,5.21245E+12,5.37507E+12,5.51588E+12,5.71922E+12,5.92443E+12,5.99539E+12,6.13821E+12,6.24816E+12,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Caribbean small states,CSS,61363588719,82598180086,1.11131E+11,1.12568E+11,1.13779E+11,1.14335E+11,1.15362E+11,1.13653E+11,1.14204E+11,1.16133E+11,1.17308E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Central Europe and the Baltics,CEB,1.55317E+12,1.76122E+12,2.60211E+12,2.6222E+12,2.65858E+12,2.73921E+12,2.84676E+12,2.93733E+12,3.08403E+12,3.22348E+12,3.34881E+12,..
